Date,Firm,To Grade,From Grade,Action
2/12/2021,Berenberg,Sell,Hold,down
3/2/2021,Macquarie,Outperform,Neutral,up
3/16/2021,JP Morgan,Neutral,,main
3/18/2021,UBS,Buy,Neutral,up
